symptom,disease
Visual problems,Uveal diseases
Decreased visual acuity,Uveal diseases
Discharge,Uveal diseases
Pruritus,Uveal diseases
Conjunctival vessel dilation,Uveal diseases
Short statures,Mietens syndrome
Short forearms,Mietens syndrome
Dislocated radius,Mietens syndrome
Elbow flexion contractures,Mietens syndrome
Mental retardation,Mietens syndrome
Crossed eyes,Mietens syndrome
Lack of pain sensation,Congenital pain insensitivity
Absent or reduced sense of smell,Congenital pain insensitivity
Frequent physical injuries,Congenital pain insensitivity
Other sensations such as pressure and touch are intact,Congenital pain insensitivity
Inability to feel foreign objects in eye,Congenital pain insensitivity
Mouth injuries are common,Congenital pain insensitivity
Decrease in peripheral pulses,Atheroma
Constriction,Atheroma
Chest pain,Atheroma
Hypertension,Atheroma
Shortness of breath,Atheroma
Reduced libido,Reproductive toxicity -- chlordecone (kepone)
Abnormal sperm shape or size,Reproductive toxicity -- chlordecone (kepone)
Reduced sperm motility,Reproductive toxicity -- chlordecone (kepone)
Reproductive toxicity,Reproductive toxicity -- chlordecone (kepone)
Reduced sperm,Reproductive toxicity -- chlordecone (kepone)
Sensitivity to light,"Primary glaucoma, congenital"
Excessive tearing,"Primary glaucoma, congenital"
Eyelid spasms,"Primary glaucoma, congenital"
Increased eye pressure,"Primary glaucoma, congenital"
Vision loss,"Primary glaucoma, congenital"
Impaired color vision,Retinal cone dystrophy 2
Progressive vision loss,Retinal cone dystrophy 2
Hemeralopia,Retinal cone dystrophy 2
Reduced central vision,Retinal cone dystrophy 2
Progressive light sensitivity,Retinal cone dystrophy 2
Lip inflammation (cheilitis),Glucagonoma
Characteristic brown-red skin rash,Glucagonoma
Smooth tongue,Glucagonoma
Glucose intolerance,Glucagonoma
Glucagon deficiency,Glucagonoma
Short forearms,Pillay syndrome
Dislocation of proximal radioulnar joints,Pillay syndrome
Dislocation of radiohumeral joints,Pillay syndrome
Obtuse mandibular angles,Pillay syndrome
Temporomandibular fusion,Pillay syndrome
Cloudy corneas,Pillay syndrome
Nausea,Yellow jessamine poisoning
Dilated pupils,Yellow jessamine poisoning
Convulsions,Yellow jessamine poisoning
Muscle weakness,Yellow jessamine poisoning
Sweating,Yellow jessamine poisoning
Hypothermia,Yellow jessamine poisoning
Nausea,Digestive system cancer
Bleeding,Digestive system cancer
Constipations,Digestive system cancer
Diarrhoea,Digestive system cancer
Abdominal pain,Digestive system cancer
Abdominal mass,Digestive system cancer
Sensitivity to light,Herpetic keratitis
Eye pain,Herpetic keratitis
Corneal inflammation,Herpetic keratitis
Eye irritation,Herpetic keratitis
Reduced visual acuity,Herpetic keratitis
Tearing eyes,Herpetic keratitis
Skin anomalies,Herpes virus antenatal infection
Premature birth,Herpes virus antenatal infection
Congenital malformations,Herpes virus antenatal infection
Retarded fetal growth,Herpes virus antenatal infection
Neonatal herpes infection,Herpes virus antenatal infection
Headaches,Shift work sleep disorder
Insomnia,Shift work sleep disorder
Excessive sleepiness,Shift work sleep disorder
Lack of energy,Shift work sleep disorder
Ocular itching,Eye allergy
Mattering and/or mucous production,Eye allergy
Burning sensations,Eye allergy
Tearing,Eye allergy
Blurred vision,Eye allergy
Redness,Eye allergy
Thickened skin on feet,Punctate acrokeratoderma -- freckle-like pigmentation
Horny skin on feet,Punctate acrokeratoderma -- freckle-like pigmentation
Horny on hands,Punctate acrokeratoderma -- freckle-like pigmentation
Thickened skin on hands,Punctate acrokeratoderma -- freckle-like pigmentation
Meningocele,Quinidine -- teratogenic agent
Phocomelia,Quinidine -- teratogenic agent
Neural tube defect,Quinidine -- teratogenic agent
Retarded fetal growth,Quinidine -- teratogenic agent
Cns abnormalities,Quinidine -- teratogenic agent
Premature death,Cor biloculare
Breathing difficulties,Cor biloculare
Heart murmurs,Cor biloculare
Cyanosis,Cor biloculare
Short statures,Boyd-stearns syndrome
Osteoporosis,Boyd-stearns syndrome
Low blood phosphate level,Boyd-stearns syndrome
Infant rickets,Boyd-stearns syndrome
Malnutrition,Boyd-stearns syndrome
Numbness in hands,Brachial plexus injury
Lost muscle control in arm,Brachial plexus injury
Lost muscle control in hand,Brachial plexus injury
Lost muscle control in wrist,Brachial plexus injury
Arm numbness,Brachial plexus injury
Paralyzed arm,Brachial plexus injury
Polyhydramnios,"Bartter's syndrome, type 3"
Polyuria,"Bartter's syndrome, type 3"
Severe volume depletion,"Bartter's syndrome, type 3"
Hypokalemic alkalosis,"Bartter's syndrome, type 3"
Reduced amniotic fluid,Situs inversus totalis with cystic dysplasia of kidneys and pancreas
Mirror-positioned internal organs,Situs inversus totalis with cystic dysplasia of kidneys and pancreas
Retarded fetal growth,Situs inversus totalis with cystic dysplasia of kidneys and pancreas
Bowed legs,Situs inversus totalis with cystic dysplasia of kidneys and pancreas
Pancreatic cysts,Situs inversus totalis with cystic dysplasia of kidneys and pancreas
Kidney cysts,Situs inversus totalis with cystic dysplasia of kidneys and pancreas
Blue eyes,"Osteogenesis imperfecta, levin type"
Brittle bones,"Osteogenesis imperfecta, levin type"
Frequent jaw infections,"Osteogenesis imperfecta, levin type"
Fractures,"Osteogenesis imperfecta, levin type"
Tendon tears,Dialysis-related amyloidosis
Bone fractures,Dialysis-related amyloidosis
Joint fluid,Dialysis-related amyloidosis
Ligaments tears,Dialysis-related amyloidosis
Joint pain,Dialysis-related amyloidosis
Joint stiffness,Dialysis-related amyloidosis
Floaters,Diabetic retinopathy
Vision impairments,Diabetic retinopathy
Blurred vision,Diabetic retinopathy
Retinal bleeding,Diabetic retinopathy
Flashes,Diabetic retinopathy
Kidney disease,Diabetic nephropathy
Proteinuria,Diabetic nephropathy
Discolored reddish urine,Diabetic nephropathy
Blood in urine,Diabetic nephropathy
Increased urination,Diabetic nephropathy
Infant feeding difficulties,Congenital myasthenic syndrome with episodic apnea
Weak cry in infants,Congenital myasthenic syndrome with episodic apnea
Weakness after 10 years,Congenital myasthenic syndrome with episodic apnea
Poor sucking in infants,Congenital myasthenic syndrome with episodic apnea
Fluctuating ptosis,Congenital myasthenic syndrome with episodic apnea
Syringomyelia,Congenital muscular dystrophy syringomyelia
Deformed spine,Congenital muscular dystrophy syringomyelia
Muscle wasting,Congenital muscular dystrophy syringomyelia
Muscle weakness,Congenital muscular dystrophy syringomyelia
Spinal cord abnormalities,Congenital muscular dystrophy syringomyelia
Fragile skin,"Epidermolysis bullosa, lethal acantholytic"
Death,"Epidermolysis bullosa, lethal acantholytic"
Fragile mucous membrane,"Epidermolysis bullosa, lethal acantholytic"
Hair loss,"Epidermolysis bullosa, lethal acantholytic"
Nail loss,"Epidermolysis bullosa, lethal acantholytic"
Presence of teeth at birth,"Epidermolysis bullosa, lethal acantholytic"
Nail disorders,"Epidermolysis bullosa, late-onset, localized junctional, with mental retardation"
Epidermolysis bullosa,"Epidermolysis bullosa, late-onset, localized junctional, with mental retardation"
Hair disorders,"Epidermolysis bullosa, late-onset, localized junctional, with mental retardation"
Abnormal tooth enamel,"Epidermolysis bullosa, late-onset, localized junctional, with mental retardation"
Mental retardation,"Epidermolysis bullosa, late-onset, localized junctional, with mental retardation"
Very soft enamel,"Amelogenesis imperfecta 2, hypoplastic local, autosomal dominant"
Loss of enamel soon after tooth eruption,"Amelogenesis imperfecta 2, hypoplastic local, autosomal dominant"
Opaque teeth,"Amelogenesis imperfecta 2, hypoplastic local, autosomal dominant"
Lustreless teeth,"Amelogenesis imperfecta 2, hypoplastic local, autosomal dominant"
Yellowish teeth,"Amelogenesis imperfecta 2, hypoplastic local, autosomal dominant"
Smooth teeth,Amelogenesis imperfecta local hypoplastic form
Calcification of tooth pulp,Amelogenesis imperfecta local hypoplastic form
Pitted teeth,Amelogenesis imperfecta local hypoplastic form
Unerupted teeth,Amelogenesis imperfecta local hypoplastic form
Rough teeth,Amelogenesis imperfecta local hypoplastic form
Short forearms,Radio-ulnar synostosis type 2
Fused forearm bones,Radio-ulnar synostosis type 2
Restricted forearm movement,Radio-ulnar synostosis type 2
Impaired hand control,Radio-ulnar synostosis type 2
Limited elbow extension,Radio-ulnar synostosis type 2
Dislocated radial heads,Radio-ulnar synostosis type 2
Pain due to nerve problems,Radiculopathy
Numbness due to nerve problems,Radiculopathy
Tingling due to nerve problems,Radiculopathy
Weakness due to nerve problems,Radiculopathy
Impaired nerve functions,Radiculopathy
Foot immobility,Foot ulcer
Bleeding,Foot ulcer
Discharge from the site of skin breakdown,Foot ulcer
A break in the skin of the foot,Foot ulcer
Swelling in feet,Foot ulcer
Foot pains,Foot ulcer
Genital anomalies,"Short rib-polydactyly syndrome, verma-naumoff type"
Narrow thorax,"Short rib-polydactyly syndrome, verma-naumoff type"
Extra fingers,"Short rib-polydactyly syndrome, verma-naumoff type"
Short limbed dwarfism,"Short rib-polydactyly syndrome, verma-naumoff type"
Feeding difficulties,3 alpha methylcrotonyl-coa carboxylase 2 deficiency
Lethargy,3 alpha methylcrotonyl-coa carboxylase 2 deficiency
Poor muscle tone,3 alpha methylcrotonyl-coa carboxylase 2 deficiency
Recurring episodes of vomiting,3 alpha methylcrotonyl-coa carboxylase 2 deficiency
Recurring episodes of diarrhea,3 alpha methylcrotonyl-coa carboxylase 2 deficiency
Feeding difficulties,3 alpha methylcrotonyl-coa carboxylase 1 deficiency
Lethargy,3 alpha methylcrotonyl-coa carboxylase 1 deficiency
Poor muscle tone,3 alpha methylcrotonyl-coa carboxylase 1 deficiency
Recurring episodes of vomiting,3 alpha methylcrotonyl-coa carboxylase 1 deficiency
Recurring episodes of diarrhea,3 alpha methylcrotonyl-coa carboxylase 1 deficiency
Short statures,"Spondylocostal dysostosis, autosomal recessive 2"
Abnormal vertebral segmentation,"Spondylocostal dysostosis, autosomal recessive 2"
Permanent flexion of left index finger,"Spondylocostal dysostosis, autosomal recessive 2"
Long thin fingers,"Spondylocostal dysostosis, autosomal recessive 2"
Vertebral abnormalities,"Spondylocostal dysostosis, autosomal recessive 2"
Short trunk,"Spondylocostal dysostosis, autosomal recessive 2"
Epilepsy,Spastic paraplegia epilepsy mental retardation
Progressive leg weakness,Spastic paraplegia epilepsy mental retardation
Abnormal gait,Spastic paraplegia epilepsy mental retardation
Increased reflexes,Spastic paraplegia epilepsy mental retardation
Mental retardation,Spastic paraplegia epilepsy mental retardation
Progressive leg spasticity,Spastic paraplegia epilepsy mental retardation
Lower leg spasticity,Spastic paraplegia with precocious puberty
Dysarthria,Spastic paraplegia with precocious puberty
Premature puberty,Spastic paraplegia with precocious puberty
Weakness in the legs,Spastic paraplegia with precocious puberty
Increased reflexes in lower legs,Spastic paraplegia with precocious puberty
Mental retardation,Spastic paraplegia with precocious puberty
Short statures,Acromesomelic dysplasia campailla martinelli type
Short forearms,Acromesomelic dysplasia campailla martinelli type
Dysplastic tubular bones in hands,Acromesomelic dysplasia campailla martinelli type
Dysplastic tubular bones in feet,Acromesomelic dysplasia campailla martinelli type
Pug nose,Acromesomelic dysplasia campailla martinelli type
Short lower legs,Acromesomelic dysplasia campailla martinelli type
Craniofacial anomalies,Baker-vinters syndrome
Premature fusion of sagittal skull bones,Baker-vinters syndrome
Limb anomalies,Baker-vinters syndrome
Nasopharyngeal adenohypophysis,Baker-vinters syndrome
Swelling of the brain (hydrocephalus),Baker-vinters syndrome
Anxiety,Ataxophobia
Trembling,Ataxophobia
Feeling of panic,Ataxophobia
Feeling of terror,Ataxophobia
Extreme avoidance measures taken,Ataxophobia
Shortness of breath,Ataxophobia
Depressive episodes at a particular time of the year,Summer affective disorder
Crave sweets and starchy foods,Summer affective disorder
Have little energy,Summer affective disorder
Feeling melancholic,Summer affective disorder
Excessive sleeping,Summer affective disorder
Spasticity,Megalencephalic leukoencephalopathy with subcortical cysts
Mental retardation,Megalencephalic leukoencephalopathy with subcortical cysts
Learning disabilities,Megalencephalic leukoencephalopathy with subcortical cysts
Enlarged brain,Megalencephalic leukoencephalopathy with subcortical cysts
Seizures,Megalencephalic leukoencephalopathy with subcortical cysts
Cognitive impairments,Megalencephalic leukoencephalopathy with subcortical cysts
Bowed long bones,Bone dysplasia moore type
Large head,Bone dysplasia moore type
Abnormal vertebrae,Bone dysplasia moore type
Long narrow head,Bone dysplasia moore type
Wide set eyes,Bone dysplasia moore type
Beaten metal skull appearance,Bone dysplasia moore type
Reduced bone growth,Bone dysplasia azouz type
Bone deformities,Bone dysplasia azouz type
Abnormal bone development,Bone dysplasia azouz type
Asymmetric growth,Bone dysplasia azouz type
Generalized enchondromas,Bone dysplasia azouz type
Flattened spine,Bone dysplasia azouz type
Craniofacial abnormalities,"Mental retardation, x-linked -- corpus callosum agenesis -- spastic quadriparesis"
Retarded motor development,"Mental retardation, x-linked -- corpus callosum agenesis -- spastic quadriparesis"
Spastic quadriparesis,"Mental retardation, x-linked -- corpus callosum agenesis -- spastic quadriparesis"
Mental retardation,"Mental retardation, x-linked -- corpus callosum agenesis -- spastic quadriparesis"
Corpus callosum agenesis,"Mental retardation, x-linked -- corpus callosum agenesis -- spastic quadriparesis"
Seizures,"Mental retardation, x-linked -- corpus callosum agenesis -- spastic quadriparesis"
Muscle cramps,Multifocal motor neuropathy with conduction block
Muscle wasting,Multifocal motor neuropathy with conduction block
Reduced reflexes,Multifocal motor neuropathy with conduction block
Muscle weakness,Multifocal motor neuropathy with conduction block
Muscle twitching,Multifocal motor neuropathy with conduction block
Holoprosencephaly,Insulin dependent diabetes mellitus -- teratogenic agent
Limb defects,Insulin dependent diabetes mellitus -- teratogenic agent
Congenital heart defects,Insulin dependent diabetes mellitus -- teratogenic agent
Pregnancy loss,Insulin dependent diabetes mellitus -- teratogenic agent
Caudal deficiency,Insulin dependent diabetes mellitus -- teratogenic agent
Neural tube defect,Insulin dependent diabetes mellitus -- teratogenic agent
Recurring abdominal pain,Bertielliasis
Constipations,Bertielliasis
Intermittent diarrhea,Bertielliasis
Anorexia,Bertielliasis
Altered consciousness,Ethylene glycol poisoning
Hypoperfusion,Ethylene glycol poisoning
Metabolic acidosis,Ethylene glycol poisoning
Tachypnea,Ethylene glycol poisoning
Congenital limb defects,Ethynodiol -- teratogenic agent
Kidney malformations,Ethynodiol -- teratogenic agent
Limb reduction defects,Ethynodiol -- teratogenic agent
Heart defect,Ethynodiol -- teratogenic agent
Vertebral malformations,Ethynodiol -- teratogenic agent
Infant feeding difficulties,Transient neonatal myasthenia gravis
Weak cry in infants,Transient neonatal myasthenia gravis
Muscle weakness at birth,Transient neonatal myasthenia gravis
Facial weakness in infant,Transient neonatal myasthenia gravis
Arthrogryposis,Spranger-schinzel-myers syndrome
Small head,Spranger-schinzel-myers syndrome
Underdeveloped lowest portion of spine (sacrum),Spranger-schinzel-myers syndrome
Hydrocephaly,Spranger-schinzel-myers syndrome
Permanent joint contractures,Spranger-schinzel-myers syndrome
Underdeveloped digits,Spranger-schinzel-myers syndrome
Small head,Ring chromosome r(2)
Psychomotor retardation,Ring chromosome r(2)
Intrauterine growth deficiency,Ring chromosome r(2)
Postnatal growth deficiency,Ring chromosome r(2)
Visceral defects,Ring chromosome r(2)
Chest tightness,Occupational asthma -- librarians
Dry cough,Occupational asthma -- librarians
Shortness of breath or wheezing,Occupational asthma -- librarians
Shortness of breath,Occupational asthma -- librarians
Nausea,Vestibulocochlear dysfunction progressive familial
Hearing loss,Vestibulocochlear dysfunction progressive familial
Vertigo,Vestibulocochlear dysfunction progressive familial
Sweating,Vestibulocochlear dysfunction progressive familial
Sensation of fullness in ears,Vestibulocochlear dysfunction progressive familial
Pallor,Vestibulocochlear dysfunction progressive familial
Tinnitus,Vestibulocochlear dysfunction progressive familial type
Abnormal gait,Vestibulocochlear dysfunction progressive familial type
Inner ear abnormalities,Vestibulocochlear dysfunction progressive familial type
Deafness,Vestibulocochlear dysfunction progressive familial type
Small head,Chlorpromazine -- teratogenic agent
Clinodactyly,Chlorpromazine -- teratogenic agent
Abdominal wall defects,Chlorpromazine -- teratogenic agent
Webbed digits,Chlorpromazine -- teratogenic agent
Short middle bones in digits,Chlorpromazine -- teratogenic agent
Clubfoot,Chlorpromazine -- teratogenic agent
Underdeveloped limbs,Chlortetracycline -- teratogenic agent
Extra digits,Chlortetracycline -- teratogenic agent
Limb reduction defects,Chlortetracycline -- teratogenic agent
Heart defect,Chlortetracycline -- teratogenic agent
Hypospadias,Chlortetracycline -- teratogenic agent
Clubfoot,Chlortetracycline -- teratogenic agent
Altered skin color,Chemical poisoning -- benzo (a) pyrene
Skin irritation,Chemical poisoning -- benzo (a) pyrene
Burning skin sensation,Chemical poisoning -- benzo (a) pyrene
Skin rashes,Chemical poisoning -- benzo (a) pyrene
Narrowed anus,"Coronal synostosis, syndactyly and jejunal atresia"
Premature fusion of coronal skull bones,"Coronal synostosis, syndactyly and jejunal atresia"
Webbed fingers,"Coronal synostosis, syndactyly and jejunal atresia"
Webbed 2nd and 3rd toes,"Coronal synostosis, syndactyly and jejunal atresia"
Blocked small intestine,"Coronal synostosis, syndactyly and jejunal atresia"
Increased blood uric acid level,Deafness hyperuricemia neurologic ataxia
Renal insufficiency,Deafness hyperuricemia neurologic ataxia
Deafness,Deafness hyperuricemia neurologic ataxia
Impaired ability to control voluntary movements,Deafness hyperuricemia neurologic ataxia
Red skin on exposure to light,Buckwheat poisoning
Itchy skin on exposure to light,Buckwheat poisoning
Dermatitis on exposure to light,Buckwheat poisoning
Skin sensitivity,Buckwheat poisoning
Skin rash from light exposure,Buckwheat poisoning
Soft tumor-like growths on mucous membranes,Tertiary syphilis
Soft tumor-like growths on internal organs,Tertiary syphilis
Soft tumor-like growths on bone,Tertiary syphilis
Soft tumor-like growths on skin,Tertiary syphilis
Aortitis,Tertiary syphilis
Short statures,"Spondylometaphyseal dysplasia, east-african type"
Oval-shaped vertebrae,"Spondylometaphyseal dysplasia, east-african type"
Bracket-shaped metaphyses,"Spondylometaphyseal dysplasia, east-african type"
Irregular iliac rim,"Spondylometaphyseal dysplasia, east-african type"
Dysplastic pelvis,"Spondylometaphyseal dysplasia, east-african type"
Sensitivity to light,Stargardt disease 3
Flecks in the retina,Stargardt disease 3
Distorted vision,Stargardt disease 3
Progressive loss of central vision,Stargardt disease 3
Sensitivity to light,Stargardt disease 4
Flecks in the retina,Stargardt disease 4
Distorted vision,Stargardt disease 4
Progressive loss of central vision,Stargardt disease 4
Sore mouth,"Neutropenia, severe chronic"
Recurring infections,"Neutropenia, severe chronic"
Periodontitis,"Neutropenia, severe chronic"
Recurring fevers,"Neutropenia, severe chronic"
Monocytopenia,"Neutropenia, severe congenital, x-linked"
Recurring bacterial infections,"Neutropenia, severe congenital, x-linked"
Immunoglobulin dysfunction,"Neutropenia, severe congenital, x-linked"
Neutropenia,"Neutropenia, severe congenital, x-linked"
Movement problems,Colpocephaly
Small head,Colpocephaly
Muscle spasms,Colpocephaly
Mental retardation,Colpocephaly
Seizures,Colpocephaly
Frequent serious infections,Nemo mutation with immunodeficiency
Pyogenic bacterial infections,Nemo mutation with immunodeficiency
Herpes virus infections,Nemo mutation with immunodeficiency
Poor immunity,Nemo mutation with immunodeficiency
Mycobacterial diseases,Nemo mutation with immunodeficiency
Intellectual impairment,Balo's concentric sclerosis
Paralysis,Balo's concentric sclerosis
Progressive spastic paralysis,Balo's concentric sclerosis
Physiological impairment,Balo's concentric sclerosis
Muscle wasting,Balo's concentric sclerosis
Unsteady walking,Balo's concentric sclerosis
Reduced reflexes,"Charcot-marie-tooth disease, type 2l"
Muscle weakness in extremities,"Charcot-marie-tooth disease, type 2l"
Abnormal gait,"Charcot-marie-tooth disease, type 2l"
Muscle wasting in extremities,"Charcot-marie-tooth disease, type 2l"
Foot deformities,"Charcot-marie-tooth disease, type 2l"
Sensory lost in extremities,"Charcot-marie-tooth disease, type 2l"
Misplaced urethral opening,Schmitt-gillenwater-kelly syndrome
Prognathism,Schmitt-gillenwater-kelly syndrome
Small forearm bone (radius),Schmitt-gillenwater-kelly syndrome
Fingerlike thumbs,Schmitt-gillenwater-kelly syndrome
Short arms,Schmitt-gillenwater-kelly syndrome
Black lock of hair,Abcd syndrome
Lack of nerves in small intestine,Abcd syndrome
Albinism,Abcd syndrome
Intestinal dysfunction,Abcd syndrome
Deafness,Abcd syndrome
Frequent shedding of silvery scales may be seen.,Flexural psoriasis
Nail disorders may be found in peoples with flexural psoriasis,Flexural psoriasis
Pain and itchiness in the affected area,Flexural psoriasis
Sensitivity to friction and sweating,Flexural psoriasis
Hearing difficulties,Beta-mannosidosis
Aggressiveness,Beta-mannosidosis
Mild bone disease,Beta-mannosidosis
Unstable behavior,Beta-mannosidosis
Mental retardation,Beta-mannosidosis
Coarse face,Beta-mannosidosis
Sunken eyes,"Microphthalmis, isolated, with cataract 4"
Cloudy eye lens,"Microphthalmis, isolated, with cataract 4"
Impaired vision,"Microphthalmis, isolated, with cataract 4"
Congenital cataracts,"Microphthalmis, isolated, with cataract 4"
Small eyes,"Microphthalmis, isolated, with cataract 4"
Excessive amniotic fluid,Holoacardius amorphus
Abnormal fetus,Holoacardius amorphus
Hydrocephaly,Holoacardius amorphus
Unrecognizable body,Holoacardius amorphus
Gastrointestinal tract abnormalities,Holoacardius amorphus
Heart abnormalities,Holoacardius amorphus
Shiny skin-colored lump,Nodular basal cell carcinoma
Spontaneous bleeding from nodule,Nodular basal cell carcinoma
Blood vessels on surface of nodule,Nodular basal cell carcinoma
Persistent skin nodule,Nodular basal cell carcinoma
Pinkish skin-colored lump,Nodular basal cell carcinoma
Short face,Craniofaciocervical osteoglyphic dysplasia
Destruction of teeth sockets,Craniofaciocervical osteoglyphic dysplasia
Underdeveloped midface,Craniofaciocervical osteoglyphic dysplasia
Short head,Craniofaciocervical osteoglyphic dysplasia
Fusion of neck vertebrae,Craniofaciocervical osteoglyphic dysplasia
Skeletal anomalies,Craniofaciocervical osteoglyphic dysplasia
Aura,"Epilepsy, nocturnal, frontal lobe type 1"
Tonic head extension,"Epilepsy, nocturnal, frontal lobe type 1"
Nocturnal motor seizures,"Epilepsy, nocturnal, frontal lobe type 1"
Mouth movements,"Epilepsy, nocturnal, frontal lobe type 1"
Garbled speech,"Epilepsy, nocturnal, frontal lobe type 1"
Flexed arms,"Epilepsy, nocturnal, frontal lobe type 1"
Aura,"Epilepsy, nocturnal, frontal lobe type"
Tonic head extension,"Epilepsy, nocturnal, frontal lobe type"
Nocturnal motor seizures,"Epilepsy, nocturnal, frontal lobe type"
Mouth movements,"Epilepsy, nocturnal, frontal lobe type"
Garbled speech,"Epilepsy, nocturnal, frontal lobe type"
Flexed arms,"Epilepsy, nocturnal, frontal lobe type"
Walking difficulties,Distal myopathy
Frequent falls,Distal myopathy
Impaired hand functioning,Distal myopathy
Weakness in hands,Distal myopathy
Weak grasp,Distal myopathy
Foot weakness,Distal myopathy
Painful eyelid,Stye
Abscesses,Stye
Eyelid abscess,Stye
Red eyelids,Stye
Swollen eyelids,Stye
Nausea,Adrenal insufficiency
Hypoglycaemia,Adrenal insufficiency
Hypotension,Adrenal insufficiency
Abdominal pain,Adrenal insufficiency
Anorexia,Adrenal insufficiency
Severe psychomotor retardation,Adrenomyodystrophy
Chronic constipation,Adrenomyodystrophy
Overdistention of bladder,Adrenomyodystrophy
Failure to thrive,Adrenomyodystrophy
Dystrophic myopathy,Adrenomyodystrophy
Megacolon,Adrenomyodystrophy
Ventricular septal defects,Voltaren -- teratogenic agent
Double outlet right ventricle,Voltaren -- teratogenic agent
Atrial septal defects,Voltaren -- teratogenic agent
Premature closure of ductus arteriosus,Voltaren -- teratogenic agent
Absence of menstruation,"Ovarian insufficiency, familial"
Hot flushes,"Ovarian insufficiency, familial"
Irregular menstrual cycles,"Ovarian insufficiency, familial"
Infertility,"Ovarian insufficiency, familial"
Hydrocephaly,Quinacrine -- teratogenic agent
Hydronephrosis,Quinacrine -- teratogenic agent
Kidney agensis,Quinacrine -- teratogenic agent
Neural tube defect,Quinacrine -- teratogenic agent
Megacolon,Quinacrine -- teratogenic agent
Nausea,Strongyloidiasis
Constipations,Strongyloidiasis
Shortness of breath or wheezing,Strongyloidiasis
Diarrhea,Strongyloidiasis
Abdominal pain,Strongyloidiasis
Coughing,Strongyloidiasis
Proximal arm muscle weakness,"Muscular dystrophy, limb-girdle, autosomal recessive, type 2h"
Proximal leg muscle weakness,"Muscular dystrophy, limb-girdle, autosomal recessive, type 2h"
Limb-girdle muscle weakness,"Muscular dystrophy, limb-girdle, autosomal recessive, type 2h"
Waddling gait,"Muscular dystrophy, limb-girdle, autosomal recessive, type 2h"
Short statures,"Mental retardation, x-linked, with isolated growth hormone deficiency"
Growth hormone deficiency,"Mental retardation, x-linked, with isolated growth hormone deficiency"
Infantile behavior,"Mental retardation, x-linked, with isolated growth hormone deficiency"
Mental retardation,"Mental retardation, x-linked, with isolated growth hormone deficiency"
Itchy skin lesions,Asteatotic eczema
Fine cracks in skin,Asteatotic eczema
Red skin lesions,Asteatotic eczema
Fissured skin lesions,Asteatotic eczema
Sore skin lesions,Asteatotic eczema
Reduced hair,Ectrodactyly and ectodermal dysplasia without cleft lip/palate
Split hand deformity,Ectrodactyly and ectodermal dysplasia without cleft lip/palate
Split foot deformity,Ectrodactyly and ectodermal dysplasia without cleft lip/palate
Limb deficiencies,Ectrodactyly and ectodermal dysplasia without cleft lip/palate
Missing ends of limbs,Ectrodactyly and ectodermal dysplasia without cleft lip/palate
Nausea,Magic lily poisoning
Diarrhea,Magic lily poisoning
Abdominal pain,Magic lily poisoning
Excessive salivation,Magic lily poisoning
Ear fluid,Perforated eardrum
Sudden relief of ear pain,Perforated eardrum
Tinnitus,Perforated eardrum
Deafness,Perforated eardrum
Two concentric halos around the papilla,"Optic nerve hypoplasia, familial bilateral"
Malformed papilla,"Optic nerve hypoplasia, familial bilateral"
Poor visual acuity,"Optic nerve hypoplasia, familial bilateral"
Small papilla,"Optic nerve hypoplasia, familial bilateral"
Pale papilla,"Optic nerve hypoplasia, familial bilateral"
Wandering eye movements,"Optic nerve hypoplasia, familial bilateral"
Esophageal atresia,Atorvastatin -- teratogenic agent
Cleft palate,Atorvastatin -- teratogenic agent
Tracheoesophageal fistula,Atorvastatin -- teratogenic agent
Limb reduction defects,Atorvastatin -- teratogenic agent
Neural tube defect,Atorvastatin -- teratogenic agent
Cough,Pneumonitis
Aches,Pneumonitis
Malaise,Pneumonitis
Fever,Pneumonitis
Dyspnoea,Pneumonitis
High serum iga levels,"Hyper-igm syndrome, autosomal recessive"
High serum igg levels,"Hyper-igm syndrome, autosomal recessive"
Enlarged secondary lymphoid organs,"Hyper-igm syndrome, autosomal recessive"
High serum igm levels,"Hyper-igm syndrome, autosomal recessive"
Bowel obstruction,Gastrointestinal zygomycosis
Abdominal distention or discomfort,Gastrointestinal zygomycosis
Dyspepsia,Gastrointestinal zygomycosis
Abdominal pain,Gastrointestinal zygomycosis
Bloody diarrhea,Gastrointestinal zygomycosis
Vomiting blood,Gastrointestinal zygomycosis
Bowel obstruction,Gastrointestinal mucormycosis
Abdominal distention or discomfort,Gastrointestinal mucormycosis
Dyspepsia,Gastrointestinal mucormycosis
Abdominal pain,Gastrointestinal mucormycosis
Bloody diarrhea,Gastrointestinal mucormycosis
Vomiting blood,Gastrointestinal mucormycosis
Spasticity,"Neurodegenerative syndrome, x-linked, hamel type"
Death,"Neurodegenerative syndrome, x-linked, hamel type"
Blindness,"Neurodegenerative syndrome, x-linked, hamel type"
Epilepsy,"Neurodegenerative syndrome, x-linked, hamel type"
Severe vision loss,"Neurodegenerative syndrome, x-linked, hamel type"
Mental retardation,"Neurodegenerative syndrome, x-linked, hamel type"
Whiteheads,Acne vulgaris
Comedones,Acne vulgaris
Redness around skin lesion,Acne vulgaris
Skin pustules,Acne vulgaris
Skin bumps,Acne vulgaris
Skin nodules,Acne vulgaris
Nausea,Acorn poisoning
Hemorrhagic colitis,Acorn poisoning
Constipations,Acorn poisoning
Abdominal pain,Acorn poisoning
